RESUMEN DE RESULTADOS

Configuración,Mejor Fitness,Fitness Promedio Final,Desv. Estándar Final,Tiempo (s),Mutación Rate,Mutación Strength,Cruce,Selección,Elitismo
Baseline (Referencia Estándar),500.00,341.34,208.47,213.7,0.1,0.3,uniform,tournament,2
Alta Mutación (Exploración Agresiva),500.00,386.72,185.99,201.1,0.3,0.8,uniform,tournament,2
Alto Elitismo (Convergencia Rápida),500.00,273.93,208.67,254.0,0.05,0.2,single_point,tournament,10
Mutación Adaptativa (Exploración a Explotación),500.00,458.76,120.74,321.3,0.2,0.6,two_point,tournament,3
Diversidad Máxima (Rango + Blend),500.00,179.84,175.69,91.2,0.15,0.4,blend,rank,2


DETALLE: Baseline (Referencia Estándar)
Generación,Mejor Fitness,Fitness Promedio,Peor Fitness,Desv. Estándar,Fuerza Mutación
0,69.60,11.30,9.20,9.00,0.3000
1,80.80,18.54,9.20,18.85,0.3000
2,178.20,23.39,9.20,29.64,0.3000
3,500.00,44.67,9.20,99.11,0.3000
4,500.00,65.59,9.20,108.02,0.3000
5,500.00,61.53,9.20,119.12,0.3000
6,500.00,81.58,9.20,136.91,0.3000
7,500.00,87.70,9.20,131.05,0.3000
8,500.00,104.80,9.20,157.49,0.3000
9,500.00,66.31,9.20,120.11,0.3000
10,500.00,78.34,9.20,119.16,0.3000
11,500.00,96.10,9.20,125.45,0.3000
12,500.00,130.86,9.20,164.21,0.3000
13,500.00,106.18,9.20,152.05,0.3000
14,500.00,99.58,9.20,127.35,0.3000
15,500.00,116.16,9.20,146.54,0.3000
16,500.00,71.97,9.20,126.74,0.3000
17,500.00,73.77,9.20,116.01,0.3000
18,500.00,99.41,9.20,153.04,0.3000
19,500.00,80.84,8.60,138.46,0.3000
20,500.00,79.31,9.20,126.24,0.3000
21,500.00,123.25,9.20,163.94,0.3000
22,500.00,112.03,9.20,158.86,0.3000
23,500.00,110.77,9.20,149.34,0.3000
24,500.00,138.31,9.20,168.75,0.3000
25,500.00,182.58,9.20,184.00,0.3000
26,500.00,205.11,9.20,200.30,0.3000
27,500.00,198.81,9.20,200.74,0.3000
28,500.00,151.02,9.20,179.84,0.3000
29,500.00,138.17,9.20,154.49,0.3000
30,500.00,169.46,9.20,173.35,0.3000
31,500.00,166.05,9.20,200.19,0.3000
32,500.00,152.94,9.20,188.35,0.3000
33,500.00,253.19,9.20,201.73,0.3000
34,500.00,275.86,9.20,221.80,0.3000
35,500.00,244.70,9.20,217.45,0.3000
36,500.00,278.59,9.20,216.00,0.3000
37,500.00,354.52,9.20,204.47,0.3000
38,500.00,339.62,9.20,194.03,0.3000
39,500.00,317.32,9.20,207.39,0.3000
40,500.00,339.62,9.20,201.30,0.3000
41,500.00,303.43,9.20,210.44,0.3000
42,500.00,328.81,9.20,206.18,0.3000
43,500.00,317.02,9.20,209.16,0.3000
44,500.00,398.18,9.20,171.14,0.3000
45,500.00,372.25,9.20,190.98,0.3000
46,500.00,332.26,9.20,206.63,0.3000
47,500.00,281.31,9.20,218.01,0.3000
48,500.00,312.09,9.20,204.96,0.3000
49,500.00,329.51,9.20,210.62,0.3000
50,500.00,325.46,9.20,208.85,0.3000
51,500.00,387.26,9.20,176.78,0.3000
52,500.00,315.06,9.20,207.67,0.3000
53,500.00,349.92,9.20,188.23,0.3000
54,500.00,391.75,9.60,172.77,0.3000
55,500.00,351.26,9.20,189.95,0.3000
56,500.00,311.41,9.20,216.77,0.3000
57,500.00,352.98,9.20,188.04,0.3000
58,500.00,351.51,9.20,191.64,0.3000
